A,K1,K2,K3
"Happy LaTeXing!~","hello","hi","你好"
"TeX Live 2018下载：http://mirrors.ustc.edu.cn/CTAN/systems/texlive/Images/","下载","安装"
"LaTeX简历：http://www.latexstudio.net/archives/12402","简历"
"Tikz&PGF：http://www.latexstudio.net/archives/category/tex-graphics/tikz-example","tikz","pgf"
"lshort到这里下载：http://www.latexstudio.net/tex-documents","lshort"
"sustc.edu.cn","南方科技大学"
"南方科技大学beamer主题模板：http://www.latexstudio.net/archives/11443","beamer"
"南方科技大学毕业论文LaTeX模板：http://www.latexstudio.net/archives/8440","毕业","论文"
"在命令行使用texdoc查看帮助文档，或者登陆网站查看宏包帮助：https://ctan.org/topic。新手请先看lshort~","帮助"
"metapost, pstricks, Tikz&pgf：http://www.latexstudio.net/archives/category/tex-graphics","绘图"
"TeX字体：http://www.latexstudio.net/archives/category/tex-resource/tex-fonts-resource","字体"
"学术海报：http://www.latexstudio.net/archives/category/tex-slides/latex-poster","海报"
"LaTeX工作室：http://www.latexstudio.net","网站"
"插图整理下载：http://www.latexstudio.net/archives/1010","历史","狮子"
"Overleaf,Real-time Collaborative Writing and Publishing Tools：https://www.overleaf.com/","在线","实时"
"请使用最小工作示例代码：https://github.com/Iydon/LaTeX-Group_Keywords/blob/master/MWE.png","mwe"
